ID,DATE,GDP
268,10/1/14,1.9
269,1/1/15,3.3
270,4/1/15,3.3
271,7/1/15,1
272,10/1/15,0.4
273,1/1/16,1.5
274,4/1/16,2.3
275,7/1/16,1.9
276,10/1/16,1.8
277,1/1/17,1.8
278,4/1/17,3
279,7/1/17,2.8
280,10/1/17,2.3
281,1/1/18,2.2
282,4/1/18,4.2
283,7/1/18,3.4
